,,,,,
,,,,,
Nombre del indicador,Tasa de Mortalidad en niñas y niños menores de 1 año,,,,
Dominio,Desarrollo,,,,
Derecho,A vivir en condiciones de bienestar y sano desarrollo integral,,,,
Dimensión,Supervivencia,,,,
Unidad de medida,"Tasa por cada 1,000",,,,
Indicador según fuente oficial,"Tasa de Mortalidad Infantil por cada 1,000 nacidos vivos",,,,
Fuente,Estimaciones de la Secretaría de Salud/Dirección General de Información en Salud con base en los ,,,,
,datos de mortalidad y datos del Subsistema de Información sobre Nacimientos 2018-2021.,,,,
,,,,,
"Descripción: Es el número de defunciones de niños menores de 1 año de edad por cada mil nacidos vivos, en el año de  referencia.",,,,,
,,,,,
Nota: la ficha del metadato se puede consultar en ,,,,,
https://www.snieg.mx/cni/infometadato.aspx?idOrden=1.1&ind=6300000011&porDetalle=no&gen=146&d=n,,,,,
,,,,,
Tasa de mortalidad en niñas y niños menores de 1 año en Morelos 2018-2021.,,,,,
Clave_Geográfica,17,Nombre_Geográfico,Morelos,Desagregación,Anual
Año,,2018,2019,2020,2021
Valor,,10.7,10.2,6.9,7.4
