,,,
,,,
Nombre del indicador,Población de adolescentes de 12 a 17 años en el sistema de justicia penal,,
Dominio,Protección,,
Derecho,Seguridad jurídica y debido proceso,,
Dimensión,Justicia para adolescentes,,
Unidad de medida,Número de personas,,
Indicador según fuente oficial,Población de adolescentes en el sistema de justicia penal,,
Fuente,Estimaciones de la SE-SIPINNA con base en datos del INEGI. Encuesta Nacional de ,,
,Adolescentes en el Sistema de Justicia Penal (ENASJUP) 2017-2020.,,
,,,
Descripción: Personas adolescentes de 12 a 17 años que se encuentren en el Sistema Integral de Justicia Penal para ,,,
Adolescentes (SIJPA) que tengan como medida cautelar el internamiento preventivo o que se les haya dictado una ,,,
medida de sanción privativa o no privativa de la libertad por la comisión de un delito del fuero común o del fuero federal.,,,
,,,
Nota: La ficha del metadato no se encuenta disponible. Para mayor información sobre los datos se recomienda ,,,
consultar la fuente oficial: https://www.inegi.org.mx/programas/enasjup/2022/,,,
,,,
Población de adolescentes de 12 a 17 años en el sistema de justicia penal en Morelos 2017-2020 por sexo.,,,
Clave_Geográfica,,Nombre_Geográfico,Desagregación
17,,Morelos,Por sexo
,Hombres,Mujeres,Total
2017,77,7,84
2020,130,19,149
