,,,,
,,,,
Nombre del indicador,"Porcentaje de niñas, niños y adolescentes de 0 a 17 años con carencia por acceso a los ",,,
,servicios básicos en la vivienda,,,
Dominio,Desarrollo,,,
Derecho,Vivir en condiciones de bienestar y sano desarrollo integral,,,
Dimensión,Pobreza y bienestar,,,
Unidad,Porcentaje,,,
Indicador según fuente,"Porcentaje de niñas, niños y adolescentes con carencia por acceso a los servicios básicos en la",,,
oficial,vivienda,,,
Fuente,Estimaciones del CONEVAL con base en la Encuesta Nacional de Ingresos y Gastos de los Hogares,,,
,(ENIGH) 2010-2020,,,
,,,,
Descripción: El indicador toma en consideración que la vivienda cuente con todos los servicios básicos con las siguientes ,,,,
características: agua entubada dentro de la vivienda o fuera de la vivienda pero dentro del terreno; drenaje conectado a la red pública,,,,
"o a una fosa séptica; electricidad obtenida del servicio público, de panel solar o de otra fuente, planta particular, y que el combustible ",,,,
"para cocinar sea gas LP o gas natural, electricidad, y si es leña o carbón  que la cocina cuente con chimenea.",,,,
,,,,
Nota: La ficha del metadato se puede consultar en: ,,,,
http://portales.segob.gob.mx/work/models/Derechos_Humanos/Indicadores/05042023/CONEVAL_Carencia_servicios_vivienda.pdf,,,,
,,,,
"Porcentaje de niñas, niños y adolescentes de 0 a 17 años con carencia por acceso a los servicios básicos en la ",,,,
vivienda en Morelos 2010-2020 por municipio ,,Año,,
Clave_Geográfica,Nombre_Geográfico,2010,2015,2020
17023,Tlalnepantla,87.1,76.7,50.6
17032,Zacualpan,75.0,26.8,19.6
17027,Totolapan,68.8,69.3,59.1
17020,Tepoztlán,68.1,51.1,42.5
17033,Temoac,54.2,47.8,29.1
17022,Tetela del Volcán,53.6,64.7,44.4
17013,Jonacatepec,53.5,34.8,35.4
17002,Atlatlahucan,46.0,41.3,39.6
17010,Jantetelco,44.6,33.2,29.0
17019,Tepalcingo,41.6,47.5,39.9
17016,Ocuituco,40.4,66.0,54.4
17009,Huitzilac,40.2,42.3,38.0
17026,Tlayacapan,37.7,37.1,33.2
17001,Amacuzac,33.1,43.8,41.1
17003,Axochiapan,32.9,57.5,51.2
17017,Puente de Ixtla,30.9,47.1,21.2
17021,Tetecala,24.9,25.8,18.3
17024,Tlaltizapán,24.1,27.2,16.0
17005,Coatlán del Río,24.0,41.9,39.5
17025,Tlaquiltenango,23.3,31.7,Sin precisión estadística
17012,Jojutla,23.2,15.4,15.3
17004,Ayala,22.6,29.3,31.8
17006,Cuautla,20.9,14.0,9.2
17014,Mazatepec,19.2,24.4,21.7
17018,Temixco,18.7,20.5,18.3
17028,Xochitepec,16.7,25.3,11.2
17031,Zacatepec,12.8,8.2,4.9
17007,Cuernavaca,12.5,9.8,6.6
17011,Jiutepec,11.8,7.6,6.2
17008,Emiliano Zapata,10.4,13.9,6.6
17015,Miacatlán,Sin precisión estadística,52.6,19.7
17029,Yautepec,Sin precisión estadística,21.3,20.4
17030,Yecapixtla,Sin precisión estadística,33.7,34.5
17034,Coatetelco,No disponible,No disponible,68.4
17035,Xoxocotla,No disponible,No disponible,62.2
17036,Hueyapan,No disponible,No disponible,68.0
