,,
,,
Nombre del indicador,Prevalencia de violencia total entre las adolescentes de 15 a 17 años a lo largo de su vida,
Dominio,Protección,
Derecho,Vida libre de violencia e integridad personal,
Dimensión,Violencia y maltrato,
Unidad de medida,Porcentaje,
Indicador según fuente oficial,Prevalencia de violencia total entre las mujeres de 15 a 17 años a lo largo de su vida,
Fuente,Estimaciones del INEGI con base en la Encuesta Nacional sobre la Dinámica de las Relaciones en,
,los Hogares (ENDIREH) 2016-2021,
,,
Descripción: Porcentaje de mujeres de 15 a 17 años que experimentaron una o más situaciones de violencia a lo largo de su vida.,,
,,
Nota: La ficha del metadato no se encuentra disponible.,,
,,
Prevalencia de violencia total entre las adolescentes de 15 a 17 años a lo largo de su vida en Morelos 2016-2021.,,
Clave_Geográfica,Nombre_Geográfico,Desagregación
17,Morelos,Total 
Año,2016,2021
Valor,56.2,70.5
