,,,
,,,
Nombre del indicador,"Tasa de ocupación no permitida de niños, niñas y adolescentes de 5 a 17 años",,
Dominio,Protección,,
Derecho,Vida Libre de Violencia e Integridad Personal,,
Dimensión,Trabajo,,
Unidad de medida,Porcentaje respecto a la población total de 5 a 17 años,,
Indicador según fuente oficial,Tasa de ocupación infantil no permitida,,
Fuente,Estimaciones del INEGI con base en el Módulo de Trabajo Infantil 2015 y 2017 y en la Encuesta ,,
,Nacional de Trabajo Infantil 2019,,
,,,
Descripción:  Proporción de la población infantil ocupada que se encuentra por debajo de la edad mínima (5 a 14 años) para trabajar ,,,
o que se encuentra en ocupaciones peligrosas (15 a 17 años) de acuerdo con la Ley Federal del Trabajo (Arts. 175 y 176).,,,
,,,
Nota: la ficha del metadato se puede consultar en ,,,
http://portales.segob.gob.mx/work/models/Derechos_Humanos/pdf/173M_STPS.pdf,,,
,,,
"Tasa de ocupación no permitida de niños, niñas y adolescentes de 5 a 17 años en Morelos 2015-2019.",,,
Clave_Geográfica,Nombre_Geográfico,Desagregación,
17,Morelos,"Total de niñas, niños y adolescentes de 5 a 17 años",
Año,2015,2017,2019
Valor,4.5,5.7,6.5
