,,,,,
,,,,,
Nombre del indicador,"Mecanismos de participación para niñas, niños y adolescentes de 0 a 17 años",,,,
Dominio,Participación y acceso a la información,,,,
Derecho,Participación,,,,
Dimensión,Participación,,,,
Unidad de medida ,Número,,,,
Indicador según fuente oficial,Porcentaje de mecanismos de participación,,,,
Fuente,Estimaciones de la SE-SIPINNA 2018-2022,,,,
,,,,,
"Descripción Los mecanismos de participación son espacios institucionales, sostenibles, donde se utilizan recursos ",,,,,
"metodológicos, herramientas y recursos materiales que permiten llevar a cabo un proceso participativo. Los mecanismos",,,,,
"pueden ser a través de talleres, consultas, foros, comisiones, consejos, áreas promotoras de participación. ",,,,,
,,,,,
Nota: La ficha del metadato no se encuentra disponible.,,,,,
,,,,,
"Número de mecanismos de participación para niñas, niños y adolescentes de 0 a 17 años en Morelos 2018-2022.",,,,,
Clave_Geográfica,,Nombre_Geográfico,,Desagregación,
17,,Morelos,,Total,
Año,2018,2019,2020,2021,2022
Valor,1,2,2,6,2
