,,,,,
,,,,,
Nombre del indicador,Tasa de mortalidad en niñas y niños menores de 5 años por infecciones respiratorias agudas ,,,,
Dominio,Desarrollo,,,,
Derecho,A vivir en condiciones de bienestar y sano desarrollo integral,,,,
Dimensión,Supervivencia,,,,
Unidad de medida,"Tasa por cada 100,000",,,,
Indicador según fuente oficial,Tasa de mortalidad en niñas y niños menores de 5 años por infecciones respiratorias agudas ,,,,
Fuente,Estimaciones de Secretaría de Salud con base en los datos de mortalidad y proyecciones  ,,,,
,de CONAPO 2018-2021.    ,,,,
,,,,,
Descripción: Es el número de defunciones en menores de 5 años de edad por infecciones respiratorias agudas por cada ,,,,,
"100,000 niños menores de 5 años en el año de referencia.",,,,,
,,,,,
Nota: la ficha del metadato se puede consultar en ,,,,,
https://www.snieg.mx/cni/infometadato.aspx?idOrden=1.1&ind=6300000071&porDetalle=no&gen=269&d=n,,,,,
,,,,,
Tasa de mortalidad en niñas y niños menores de 5 años por infecciones respiratorias agudas en Morelos 2018-2021.,,,,,
Clave_Geográfica,17,Nombre_Geográfico,Morelos,Desagregación,Anual
Año,,Tasa de mortalidad en niñas y niños menores de 5 años por infecciones respiratorias agudas en Morelos 2018,Tasa de mortalidad en niñas y niños menores de 5 años por infecciones respiratorias agudas en Morelos 2019,Tasa de mortalidad en niñas y niños menores de 5 años por infecciones respiratorias agudas en Morelos 2020,Tasa de mortalidad en niñas y niños menores de 5 años por infecciones respiratorias agudas en Morelos 2021
Valor,,6.5,9.4,8.3,4.2
