Clave_Geográfica,Año,Nombre_Geográfico,Con al menos un hijo nacido vivo,No asiste a la escuela,Sin afiliación a servicios de salud
17 035,2020,Xoxocotla,40.2,93.4,33.6
17 023,2020,Tlalnepantla,30.3,90.9,42.4
17 022,2020,Tetela del Volcán,34.9,84.1,22.2
17 001,2020,Amacuzac,42.1,87.7,12.3
17 014,2020,Mazatepec,31.0,89.7,24.1
17 027,2020,Totolapan,40.9,90.9,27.3
17 013,2020,Jonacatepec de Leandro Valle,36.2,97.9,25.5
17 004,2020,Ayala,48.0,93.6,38.1
17 003,2020,Axochiapan,34.5,94.1,25.2
17 016,2020,Ocuituco,35.1,89.5,36.8
17 019,2020,Tepalcingo,40.6,98.6,21.7
17 026,2020,Tlayacapan,37.5,85.4,25.0
17 030,2020,Yecapixtla,41.4,93.1,25.5
17 024,2020,Tlaltizapán de Zapata,38.6,92.1,37.0
17 032,2020,Zacualpan de Amilpas,16.7,75.0,25.0
17 002,2020,Atlatlahucan,42.2,87.5,35.9
17 017,2020,Puente de Ixtla,36.5,81.3,31.3
17 005,2020,Coatlán del Río,47.6,85.7,33.3
17 033,2020,Temoac,44.4,97.2,8.3
17 025,2020,Tlaquiltenango,43.7,84.5,16.9
17 010,2020,Jantetelco,38.5,94.9,20.5
17 029,2020,Yautepec,41.9,87.2,30.0
17 028,2020,Xochitepec,45.3,88.7,35.3
17 034,2020,Coatetelco,37.5,95.8,16.7
17 009,2020,Huitzilac,38.8,89.8,40.8
17 018,2020,Temixco,48.1,92.6,34.6
17 036,2020,Hueyapan,35.3,100.0,35.3
17 020,2020,Tepoztlán,42.6,87.1,44.6
17 012,2020,Jojutla,44.2,89.5,33.7
17 008,2020,Emiliano Zapata,40.9,83.6,32.7
17 006,2020,Cuautla,42.5,86.1,37.9
17 021,2020,Tetecala,50.0,100.0,10.0
17 015,2020,Miacatlán,54.2,83.3,33.3
17 031,2020,Zacatepec,30.2,90.7,39.5
17 011,2020,Jiutepec,45.1,88.2,48.7
17 007,2020,Cuernavaca,49.5,84.6,43.0
17,2020,Morelos,42.4,89.2,33.8
