,,,
,,,
Nombre del indicador,"Porcentaje de niñas, niños y adolescentes de 6 a 17 años usuaria de internet",,
Dominio,Participación y acceso a la información,,
Derecho,"Derecho de acceso a las tecnologías de la información y comunicación, así como a los ",,
,servicios de radiodifusión y telecomunicaciones,,
Dimensión,Acceso a TIC,,
Unidad de medida,Porcentaje,,
Indicador según fuente oficial,Porcentaje de población de 6 a 17 años usuaria de internet,,
Fuente,Estimaciones de la SE-SIPINNA con base en la Encuesta Nacional sobre Disponibilidad y Uso de ,,
,Tecnologías de la Información en los Hogares (ENDUTIH) del INEGI 2018-2021,,
,,,
"Descripción: Porcentaje de personas de 6 años a 17 años que, en forma eventual o cotidiana, y de manera autónoma, ",,,
ha accedido y realizado alguna actividad en Internet en los últimos doce meses. ,,,
,,,
Nota: La ficha del metadato no se encuentra disponible. ,,,
,,,
"Porcentaje de niñas, niños y adolescentes de 6 a 17 años usuaria de internet en Morelos 2018-2021",,,
Clave_Geográfica,,Nombre_Geográfico,Desagregación
17,,Morelos,Total
Año,2018,2020,2021
Valor,73.3,86.0,89.0
