,,,,
,,,,
Nombre del indicador,"Porcentaje de niñas, niños y adolescentes de 0 a 17 años con carencia por acceso a la alimentación",,,
,,,,
Dominio,Desarrollo,,,
Derecho,A vivir en condiciones de bienestar y sano desarrollo integral,,,
Dimensión,Pobreza y bienestar,,,
Unidad de medida,Porcentaje,,,
Indicador según fuente oficial,"Porcentaje de niñas, niños y adolescentes con carencia por acceso a la alimentación",,,
Fuente,Estimaciones del CONEVAL con base en la Encuesta Nacional de Ingresos y Gastos de los Hogares,,,
,(ENIGH) 2010-2020,,,
,,,,
Descripción: Se considera en situación de carencia por acceso a la alimentación nutritiva y de calidad a los hogares que presenten un,,,,
"grado de inseguridad alimentaria moderado o severo, o presenten limitación en el consumo de alimentos.",,,,
,,,,
Nota: la ficha del metadato se puede consultar en ,,,,
http://portales.segob.gob.mx/work/models/Derechos_Humanos/Indicadores/05042023/CONEVAL_Carencia_alimentacion.pdf,,,,
,,,,
"Porcentaje de niñas, niños y adolescentes de 0 a 17 años con carencia por acceso a la alimentación en Morelos",,,,
2010-2020 por municipio.,,,Año,
Clave_Geográfica,Nombre_Geográfico,2010,2015,2020
17001,Amacuzac,49.0,26.4,36.4
17017,Puente de Ixtla,63.2,28.3,34.7
17015,Miacatlán,51.2,41.4,28.5
17005,Coatlán del Río,42.7,30.1,32.8
17016,Ocuituco,42.1,25.5,31.7
17021,Tetecala,42.0,23.7,18.5
17025,Tlaquiltenango,39.9,29.0,20.2
17028,Xochitepec,37.8,33.9,23.4
17031,Zacatepec,37.0,24.6,18.4
17003,Axochiapan,33.8,38.1,33.4
17033,Temoac,31.8,25.6,17.5
17008,Emiliano Zapata,31.3,31.0,26.4
17006,Cuautla,29.7,26.2,26.2
17018,Temixco,29.6,36.4,29.1
17004,Ayala,27.4,29.8,25.9
17014,Mazatepec,27.0,24.2,19.0
17024,Tlaltizapán,24.6,32.5,31.4
17012,Jojutla,24.1,28.2,21.8
17020,Tepoztlán,24.1,26.2,27.3
17030,Yecapixtla,23.7,30.0,25.5
17019,Tepalcingo,22.7,28.8,22.5
17011,Jiutepec,22.6,28.5,21.8
17029,Yautepec,22.5,28.1,25.4
17013,Jonacatepec,21.8,27.8,24.1
17010,Jantetelco,21.3,25.1,29.1
17032,Zacualpan,19.6,20.6,8.0
17007,Cuernavaca,18.9,24.4,19.1
17022,Tetela del Volcán,16.3,18.5,19.3
17027,Totolapan,11.9,26.5,30.6
17026,Tlayacapan,11.4,28.5,34.4
17009,Huitzilac,10.3,25.9,36.8
17002,Atlatlahucan,Sin precisión estadística,31.4,37.1
17023,Tlalnepantla,Sin precisión estadística,28.1,20.3
17034,Coatetelco,No disponible,No disponible,51.2
17035,Xoxocotla,No disponible,No disponible,42.7
17036,Hueyapan,No disponible,No disponible,10.7
