Clave_Geográfica,Nombre_Geográfico,2010,2015,2020
17023,Tlalnepantla,44.4,10.6,25.0
17022,Tetela del Volcán,44.1,9.9,24.2
17017,Puente de Ixtla,34.8,12.3,23.5
17026,Tlayacapan,33.9,10.3,32.9
17020,Tepoztlán,32.3,15.0,39.7
17006,Cuautla,32.2,18.4,33.8
17018,Temixco,31.2,12.9,36.4
17027,Totolapan,31.2,11.2,29.6
17010,Jantetelco,30.8,9.5,18.8
17028,Xochitepec,29.9,13.8,27.4
17002,Atlatlahucan,29.4,17.9,38.0
17030,Yecapixtla,29.4,13.6,25.7
17009,Huitzilac,29.2,14.1,43.3
17001,Amacuzac,28.8,8.2,13.3
17011,Jiutepec,27.8,14.5,29.0
17029,Yautepec,27.7,10.2,36.0
17007,Cuernavaca,27.3,18.2,32.6
17031,Zacatepec,26.0,15.0,25.2
17003,Axochiapan,25.9,13.9,32.1
17013,Jonacatepec,24.4,8.2,17.3
17008,Emiliano Zapata,24.4,13.0,34.0
17016,Ocuituco,23.1,8.8,27.7
17032,Zacualpan,22.6,11.3,17.1
17033,Temoac,22.5,9.3,16.4
17012,Jojutla,21.0,12.7,25.2
17025,Tlaquiltenango,20.9,10.6,17.3
17024,Tlaltizapán,20.1,11.9,21.6
17019,Tepalcingo,20.1,10.0,24.3
17004,Ayala,17.9,13.2,24.4
17015,Miacatlán,15.3,9.3,20.6
17021,Tetecala,13.0,4.4,12.6
17014,Mazatepec,12.3,9.3,Sin precisión estadística
17005,Coatlán del Río,12.2,5.9,Sin precisión estadística
17034,Coatetelco,No disponible,No disponible,21.3
17035,Xoxocotla,No disponible,No disponible,27.0
17036,Hueyapan,No disponible,No disponible,23.8
