,,,,
,,,,
Nombre del indicador,Atención a niñas y niños en educación preescolar,,,
Dominio,Desarrollo,,,
Derecho,Educación,,,
Dimensión,Servicios educativos,,,
Unidad de medida,Tasa por cada cien,,,
Indicador según fuente oficial,Atención a niñas y niños  en educación preescolar,,,
Fuente,"Estimaciones de la SEP, con base en datos de la Dirección General de Planeación, Programación y ",,,
,Estadística Educativa (DGPPEE) 2018-2022,,,
,,,,
"Descripción: Alumnos en educación preescolar en edad típica de este nivel educativo, al inicio del ciclo escolar, por cada ",,,,
cien de población de la misma edad.,,,,
,,,,
Nota: la ficha del metadato se puede consultar en ,,,,
http://portales.segob.gob.mx/work/models/Derechos_Humanos/pdf/Atencion_a_ninas_ninos_en_educ_preesc.pdf,,,,
,,,,
Atención a niñas y niños de 3 a 5 años en educación preescolar en Morelos por ciclo escolar y sexo 2018-2022.,,,,
Clave_Geográfica,Nombre_Geográfico,Desagregación,,
17,Morelos,Edad,,
,Ciclo escolar,Total,Hombres,Mujeres
Atención 3 años,2018-2019,28.0,27.3,28.8
,2019-2020,30.3,30.0,30.6
,2020-2021,19.2,18.7,19.8
,2021-2022,18.2,17.9,18.4
Atención 4 años,2018-2019,85.5,85.1,85.9
,2019-2020,85.4,84.8,86.0
,2020-2021,71.0,70.2,71.9
,2021-2022,67.6,66.9,68.3
Atención 5 años,2018-2019,87.0,85.6,88.5
,2019-2020,84.4,84.2,84.7
,2020-2021,79.5,79.3,79.7
,2021-2022,74.5,74.1,74.9
