,,,Año,
Clave_Geográfica,Nombre_Geográfico,2010,2015,2020
17027,Totolapan,21.8,12.9,11.8
17002,Atlatlahucan,18.0,11.4,10.9
17005,Coatlán del Río,17.3,11.4,11.6
17015,Miacatlán,16.5,15.0,8.6
17022,Tetela del Volcán,15.8,13.4,9.8
17018,Temixco,15.6,12.0,10.2
17025,Tlaquiltenango,15.2,10.5,11.5
17017,Puente de Ixtla,15.0,13.4,11.6
17029,Yautepec,14.3,11.9,11.8
17024,Tlaltizapán,14.2,10.6,9.6
17001,Amacuzac,14.2,10.5,13.7
17004,Ayala,14.0,12.0,11.2
17023,Tlalnepantla,13.9,13.4,14.9
17031,Zacatepec,13.9,8.0,10.3
17030,Yecapixtla,13.8,10.8,11.1
17020,Tepoztlán,13.8,9.3,8.6
17006,Cuautla,13.7,10.1,10.9
17003,Axochiapan,13.7,13.5,14.6
17028,Xochitepec,13.4,11.5,10.1
17021,Tetecala,13.3,10.7,16.7
17014,Mazatepec,12.8,9.5,Sin precisión estadística
17013,Jonacatepec,12.8,11.7,12.9
17008,Emiliano Zapata,12.5,11.5,10.0
17033,Temoac,12.2,10.0,11.8
17019,Tepalcingo,11.9,9.7,9.7
17012,Jojutla,11.7,9.3,9.6
17016,Ocuituco,11.6,10.5,9.0
17010,Jantetelco,11.5,12.5,10.3
17026,Tlayacapan,11.3,11.8,10.4
17009,Huitzilac,10.8,7.9,8.4
17032,Zacualpan,10.8,6.1,9.1
17011,Jiutepec,10.4,7.5,7.6
17007,Cuernavaca,10.3,6.1,6.5
17034,Coatetelco,No disponible,No disponible,16.8
17035,Xoxocotla,No disponible,No disponible,13.8
17036,Hueyapan,No disponible,No disponible,14.1
