Clave_Geográfica,Nombre_Geográfico,Desagregación,,Clave_Geográfica,Nombre_Geográfico,Desagregación,
17,Morelos,Nivel educativo y sexo,,17,Morelos,Nivel educativo,
Ciclo escolar,,Hombres,Mujeres,Ciclo escolar,Primaria,Secundaria,Media superior
2018-2019,Primaria,1.2,0.8,2018-2019,1.0,5.2,17.1
,Secundaria,6.0,4.5,2019-2020,1.0,3.2,14.7
,Media superior,19.7,14.6,2020-2021,1.0,4.5,16.3
2019-2020,Primaria,0.9,1.0,,,,
,Secundaria,4.2,2.3,,,,
,Media superior,17.0,12.5,,,,
2020-2021,Primaria,1.2,0.9,,,,
,Secundaria,5.8,3.2,,,,
,Media superior,20.0,12.8,,,,
