,,,
,,,
Nombre del indicador,"Lesiones por violencia sexual contra niñas, niños y adolescentes de 0 a 17 años",,
Dominio,Protección,,
Derecho,Vida libre de violencia e integridad personal,,
Dimensión,Violencia y maltrato,,
Unidad de medida,Número de lesiones,,
Indicador según fuente oficial,"Lesiones por violencia sexual contra niñas, niños y adolescentes",,
Fuente,Estimaciones de la SE-SIPINNA con base en datos de la Secretaría de Salud 2022,,
,,,
"Descripción: La violencia sexual es definida como cualquier acto sexual, la tentativa de consumarlo u otro acto dirigido contra la",,,
"sexualidad mediante coacción, sin importar la relación entre el agresor y la víctima.",,,
,,,
Nota: La ficha del metadato no se encuentra disponible.,,,
,,,
"Lesiones por violencia sexual contra niñas, niños y adolescentes de 0 a 17 años en Morelos",,,
2022 por municipio.,,,
Clave_Geográfica,Año,Nombre_Geográfico,Valor
17 007,2022,Cuernavaca,42
17 029,2022,Yautepec,25
17 018,2022,Temixco,22
17 028,2022,Xochitepec,20
17 024,2022,Tlaltizapán de Zapata,17
17 008,2022,Emiliano Zapata,14
17 011,2022,Jiutepec,11
17 012,2022,Jojutla,11
17 031,2022,Zacatepec,9
17 020,2022,Tepoztlán,8
17 025,2022,Tlaquiltenango,8
17 006,2022,Cuautla,7
17 014,2022,Mazatepec,6
17 001,2022,Amacuzac,5
17 017,2022,Puente de Ixtla,5
17 004,2022,Ayala,4
17 009,2022,Huitzilac,4
17 015,2022,Miacatlán,3
17 030,2022,Yecapixtla,3
17 002,2022,Atlatlahucan,2
17 005,2022,Coatlán del Río,2
17 026,2022,Tlayacapan,2
17 027,2022,Totolapan,2
17 016,2022,Ocuituco,1
17 033,2022,Temoac,1
17 034,2022,Coatetelco,1
17 003,2022,Axochiapan,0
17 010,2022,Jantetelco,0
17 013,2022,Jonacatepec de Leandro Valle,0
17 019,2022,Tepalcingo,0
17 021,2022,Tetecala,0
17 022,2022,Tetela del Volcán,0
17 023,2022,Tlalnepantla,0
17 032,2022,Zacualpan de Amilpas,0
17 035,2022,Xoxocotla,0
17 036,2022,Hueyapan,0
17,2022,Morelos,235
