Clave_Geográfica,Año,Nombre_Geográfico,Valor
17 007,2022,Cuernavaca,46
17 018,2022,Temixco,32
17 008,2022,Emiliano Zapata,27
17 028,2022,Xochitepec,26
17 011,2022,Jiutepec,22
17 020,2022,Tepoztlán,9
17 029,2022,Yautepec,9
17 012,2022,Jojutla,8
17 006,2022,Cuautla,5
17 017,2022,Puente de Ixtla,5
17 009,2022,Huitzilac,4
17 014,2022,Mazatepec,4
17 015,2022,Miacatlán,4
17 031,2022,Zacatepec,4
17 002,2022,Atlatlahucan,3
17 033,2022,Temoac,3
17 001,2022,Amacuzac,2
17 004,2022,Ayala,2
17 005,2022,Coatlán del Río,2
17 010,2022,Jantetelco,2
17 024,2022,Tlaltizapán de Zapata,2
17 027,2022,Totolapan,2
17 034,2022,Coatetelco,2
17 019,2022,Tepalcingo,1
17 021,2022,Tetecala,1
17 025,2022,Tlaquiltenango,1
17 026,2022,Tlayacapan,1
17 030,2022,Yecapixtla,1
17 035,2022,Xoxocotla,1
17 003,2022,Axochiapan,0
17 013,2022,Jonacatepec de Leandro Valle,0
17 016,2022,Ocuituco,0
17 022,2022,Tetela del Volcán,0
17 023,2022,Tlalnepantla,0
17 032,2022,Zacualpan de Amilpas,0
17 036,2022,Hueyapan,0
17,2022,Morelos,231
